Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500.0,182.51,0.0,182.51,182.51
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800.0,182.82,0.0016913836414416128,182.665,182.665
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600.0,180.52,-0.012614172381893218,181.95000000000002,181.95000000000002
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100.0,176.19,-0.023991429470813452,180.51,180.51
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200.0,174.25,-0.010976590099044836,179.25799999999998,179.25799999999998
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300.0,174.42,0.0009901275344159632,178.45166666666668,178.45166666666668
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500.0,175.83,0.00806820162070876,178.07714285714286,178.07714285714286
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900.0,171.45,-0.024940650558053057,177.24875,177.24875
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600.0,174.26,0.016416696585705104,176.91666666666666,176.91666666666666
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400.0,170.52,-0.02146600966311496,176.277,176.277
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400.0,170.75,0.0013310741611882726,175.77454545454546,175.77454545454546
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800.0,168.56,-0.012815034057011343,175.17333333333332,175.17333333333332
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900.0,169.5,0.005602055788994642,174.73692307692306,174.73692307692306
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600.0,172.98,0.020515111657757545,174.61142857142858,174.61142857142858
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700.0,170.37,-0.015116391077407365,173.74428571428572,174.32866666666666
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800.0,172.69,0.01364299552085213,173.0207142857143,174.22625
2016-01-27,2016,1,27,Wednesday,04,2016-04,189.58,191.56,187.06,188.13,185681700.0,170.81,-0.01088324654215922,172.32714285714286,174.02529411764704
2016-01-28,2016,1,28,Thursday,04,2016-04,189.96,190.2,187.16,189.11,143798800.0,171.7,0.005209203852879485,172.00642857142856,173.89611111111108
2016-01-29,2016,1,29,Friday,04,2016-04,190.02,193.88,189.88,193.72,210529300.0,175.89,0.02437752265311177,172.1235714285714,174.00105263157891
2016-02-01,2016,2,1,Monday,05,2016-05,192.53,194.58,191.84,193.65,136061600.0,175.82,-0.0003615038874030807,172.2235714285714,174.09199999999998
2016-02-02,2016,2,2,Tuesday,05,2016-05,191.96,191.97,189.54,190.16,182564900.0,172.65,-0.01802219622518375,171.99642857142857,174.0233333333333
2016-02-03,2016,2,3,Wednesday,05,2016-05,191.41,191.78,187.1,191.3,205054900.0,173.69,0.005994865583928366,172.15642857142856,174.0081818181818
2016-02-04,2016,2,4,Thursday,05,2016-05,190.71,192.75,189.96,191.6,139531800.0,173.96,0.0015683245528710366,172.13500000000002,174.00608695652173
2016-02-05,2016,2,5,Friday,05,2016-05,190.99,191.67,187.2,187.95,180788300.0,170.65,-0.01904997061583935,172.14428571428576,173.86625
2016-02-08,2016,2,8,Monday,06,2016-06,185.77,186.12,182.8,185.42,191526700.0,168.35,-0.013461239429421012,171.97285714285718,173.6456
2016-02-09,2016,2,9,Tuesday,06,2016-06,183.36,186.94,183.2,185.43,184513100.0,168.36,5.3838616300483366e-05,171.95857142857147,173.44230769230768
2016-02-10,2016,2,10,Wednesday,06,2016-06,186.41,188.34,185.12,185.27,148214100.0,168.21,-0.0008626403410610939,171.8664285714286,173.24851851851852
2016-02-11,2016,2,11,Thursday,06,2016-06,182.34,184.1,181.09,182.86,219058900.0,166.03,-0.013008196897528301,171.37000000000006,172.9907142857143
2016-02-12,2016,2,12,Friday,06,2016-06,184.96,186.65,183.96,186.63,127632400.0,169.45,0.020616974396556964,171.30428571428575,172.86862068965516
2016-02-16,2016,2,16,Tuesday,07,2016-07,188.77,189.81,187.63,189.78,120250700.0,172.31,0.01687829559588261,171.2771428571429,172.85
2016-02-17,2016,2,17,Wednesday,07,2016-07,191.16,193.32,191.01,192.88,136009500.0,175.12,0.016334784308568384,171.58500000000004,172.9232258064516
2016-02-18,2016,2,18,Thursday,07,2016-07,193.2,193.27,191.72,192.09,102343000.0,174.41,-0.004095892397086853,171.77857142857147,172.9696875
2016-02-19,2016,2,19,Friday,07,2016-07,191.17,192.18,190.45,192.0,114793000.0,174.32,-0.0004684223493279793,171.66642857142864,173.01060606060605
2016-02-22,2016,2,22,Monday,08,2016-08,193.87,194.95,193.79,194.78,103640300.0,176.85,0.014478968098565748,171.74000000000004,173.1235294117647
2016-02-23,2016,2,23,Tuesday,08,2016-08,194.0,194.32,192.18,192.32,111455300.0,174.61,-0.012629598641646922,171.88000000000005,173.166
2016-02-24,2016,2,24,Wednesday,08,2016-08,190.63,193.53,189.32,193.2,150812200.0,175.41,0.004575681600651471,172.00285714285718,173.22833333333332
2016-02-25,2016,2,25,Thursday,08,2016-08,193.73,195.55,192.83,195.54,110728300.0,177.54,0.012111880206365777,172.25857142857146,173.34486486486486
2016-02-26,2016,2,26,Friday,08,2016-08,196.57,196.68,194.9,195.09,129833700.0,177.13,-0.0023013904430887466,172.7214285714286,173.44447368421052
