Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,01,2016-01,71.59,71.68,70.86,71.61,2039800.0,60.78,0.0,60.78,60.78
2016-01-05,2016,1,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,01,2016-01,72.07,72.68,71.54,71.87,2210500.0,61.0,0.0036308248404759436,60.89,60.89
2016-01-06,2016,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,01,2016-01,71.29,72.3,71.15,72.01,2504000.0,61.11,0.0019479963524162702,60.96333333333333,60.96333333333333
2016-01-07,2016,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,01,2016-01,71.09,71.28,70.26,70.37,1933200.0,59.72,-0.02277467242655551,60.652499999999996,60.652499999999996
2016-01-08,2016,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,01,2016-01,71.34,72.39,70.38,71.48,3157400.0,60.67,0.0157735928114644,60.65599999999999,60.65599999999999
2016-01-11,2016,1,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,02,2016-02,71.67,71.92,71.03,71.55,1184200.0,60.72,0.0009792496908758164,60.666666666666664,60.666666666666664
2016-01-12,2016,1,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,02,2016-02,71.96,72.14,70.68,71.47,1645500.0,60.66,-0.0011180027847987883,60.66571428571428,60.66571428571428
2016-01-13,2016,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,02,2016-02,71.54,72.24,70.87,70.9,1365600.0,60.17,-0.007975212266476683,60.60375,60.60375
2016-01-14,2016,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,02,2016-02,70.95,72.3,70.78,71.67,1681000.0,60.83,0.010860053115401058,60.62888888888889,60.62888888888889
2016-01-15,2016,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,02,2016-02,70.31,71.18,70.29,70.67,2252300.0,59.98,-0.013952545903604507,60.564,60.564
2016-01-19,2016,1,19,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd8b23fa370>>,03,2016-03,71.02,71.56,70.81,71.24,1529900.0,60.46,0.008065492214006653,60.554545454545455,60.554545454545455
